Time [s],Channel 2
0.835414000,0
0.835424000,1
0.835478000,0
0.835488000,1
0.835768000,0
0.835776000,1
0.835936000,0
0.835946000,1
0.836000000,0
0.836008000,1
0.836082000,0
0.836090000,1
0.836162000,0
0.836172000,1
0.836244000,0
0.836252000,1
0.836280000,0
0.836290000,1
0.836346000,0
0.836356000,1
0.836382000,0
0.836392000,1
0.836464000,0
0.836474000,1
0.836732000,0
0.836742000,1
0.836902000,0
0.836910000,1
0.836976000,0
0.836986000,1
0.837058000,0
0.837068000,1
0.837140000,0
0.837150000,1
0.837222000,0
0.837230000,1
0.837258000,0
0.837266000,1
0.837326000,0
0.837336000,1
0.837362000,0
0.837372000,1
0.837438000,0
0.837448000,1
0.837698000,0
0.837706000,1
0.837866000,0
0.837876000,1
0.837942000,0
0.837952000,1
0.838024000,0
0.838032000,1
0.838106000,0
0.838114000,1
0.838186000,0
0.838196000,1
0.838222000,0
0.838232000,1
0.838296000,0
0.838304000,1
0.838332000,0
0.838340000,1
0.838376000,0
0.838386000,1
0.838664000,0
0.838672000,1
0.838832000,0
0.838842000,1
0.838872000,0
0.838880000,1
0.838952000,0
0.838962000,1
0.839034000,0
0.839044000,1
0.839116000,0
0.839124000,1
0.839152000,0
0.839162000,1
0.839228000,0
0.839236000,1
0.839264000,0
0.839272000,1
0.839302000,0
0.839312000,1
0.839628000,0
0.839638000,1
0.839798000,0
0.839806000,1
0.839836000,0
0.839846000,1
0.839918000,0
0.839928000,1
0.840000000,0
0.840008000,1
0.840080000,0
0.840090000,1
0.840116000,0
0.840126000,1
0.840196000,0
0.840204000,1
0.840232000,0
0.840240000,1
0.840288000,0
0.840298000,1
0.840594000,0
0.840602000,1
0.840762000,0
0.840772000,1
0.840802000,0
0.840810000,1
0.840884000,0
0.840892000,1
0.840964000,0
0.840974000,1
0.841046000,0
0.841056000,1
0.841082000,0
0.841092000,1
0.841164000,0
0.841172000,1
0.841200000,0
0.841210000,1
0.841252000,0
0.841260000,1
0.841558000,0
0.841568000,1
0.841728000,0
0.841738000,1
0.841766000,0
0.841776000,1
0.841848000,0
0.841858000,1
0.841930000,0
0.841940000,1
0.842012000,0
0.842020000,1
0.842050000,0
0.842060000,1
0.842086000,0
0.842096000,1
0.842122000,0
0.842132000,1
0.842162000,0
0.842172000,1
0.842524000,0
0.842534000,1
0.842692000,0
0.842702000,1
0.842756000,0
0.842766000,1
0.842838000,0
